nanoplot=1.46.1	ok	quay.io/aarchbio/nanoplot:1.46.1--pyhdfd78af_0 multi-arch
nanoq=0.10.0	ok	quay.io/aarchbio/nanoq:0.10.0--h3af2550_4 arm64
ngscheckmate=1.0.1	ok	quay.io/aarchbio/ngscheckmate:1.0.1--py312pl5321h0cbc5ad_4 arm64
nonpareil=3.5.5	ok	quay.io/aarchbio/nonpareil:3.5.5--r44h1e84f2d_2 arm64
p7zip=16.02	ok	quay.io/aarchbio/p7zip:16.02--h01db608_1001 arm64
perl=5.26.2	ok	quay.io/aarchbio/perl:5.26.2--hb9de7d4_1008 arm64
pigz=2.3.4	gap	no arm64 solution
plasmidid=1.6.5	ok	quay.io/aarchbio/plasmidid:1.6.5--hdfd78af_0 multi-arch
porechop_abi=0.5.0	ok	quay.io/aarchbio/porechop_abi:0.5.0--py312h645634a_0 arm64
porechop_abi=0.5.0post1	ok	quay.io/aarchbio/porechop_abi:0.5.0post1--py312h645634a_0 arm64
preseq=3.2.0	ok	quay.io/aarchbio/preseq:3.2.0--h7f4e536_6 arm64
prinseq-plus-plus=1.2.3	gap	no arm64 solution
pycoqc=2.5.2	gap	no arm64 solution
pydamage=1.0	ok	quay.io/aarchbio/pydamage:1.0--pyhdfd78af_0 multi-arch
python=3.10.4	ok	quay.io/aarchbio/python:3.10.4--h5016f1d_0_cpython arm64
python=3.12	ok	quay.io/aarchbio/python:3.12--h91f4b29_0_cpython arm64
python=3.12.12	ok	quay.io/aarchbio/python:3.12.12--h91f4b29_2_cpython arm64
python=3.9	ok	quay.io/aarchbio/python:3.9--h0819846_0_cpython arm64
qualimap=2.3	ok	quay.io/aarchbio/qualimap:2.3--hdfd78af_0 multi-arch
rust-bio-tools=0.42.2	ok	quay.io/aarchbio/rust-bio-tools:0.42.2--h9f9ed5d_3 arm64
salmon=1.10.3	ok	quay.io/aarchbio/salmon:1.10.3--h6e0737c_5 arm64
samtools=1.21	ok	quay.io/aarchbio/samtools:1.21--h0b41a95_1 arm64
samtools=1.22.1	ok	quay.io/aarchbio/samtools:1.22.1--h0b41a95_0 arm64
seqkit=2.9.0	ok	quay.io/aarchbio/seqkit:2.9.0--h23ed54d_0 arm64
seqtk=1.4	ok	quay.io/aarchbio/seqtk:1.4--h0cbc5ad_3 arm64
spring=1.1.1	ok	quay.io/aarchbio/spring:1.1.1--h78569d1_3 arm64
strelka=2.9.10	ok	quay.io/aarchbio/strelka:2.9.10--hdfd78af_2 multi-arch
stringtie=2.2.1	ok	quay.io/aarchbio/stringtie:2.2.1--hf1d9491_6 arm64
stringtie=2.2.3	ok	quay.io/aarchbio/stringtie:2.2.3--hac7b671_1 arm64
subread=2.0.6	ok	quay.io/aarchbio/subread:2.0.6--h0cbc5ad_3 arm64
sylph-tax=1.2.0	ok	quay.io/aarchbio/sylph-tax:1.2.0--pyhdfd78af_0 multi-arch
sylph=0.7.0	ok	quay.io/aarchbio/sylph:0.7.0--h415ceb9_2 arm64
sylph=0.9.0	ok	quay.io/aarchbio/sylph:0.9.0--h415ceb9_0 arm64
taxpasta=0.7.0	ok	quay.io/aarchbio/taxpasta:0.7.0--pyhdfd78af_1 multi-arch
tiara=1.0.3	gap	no arm64 solution
tiddit=3.6.1	ok	quay.io/aarchbio/tiddit:3.6.1--py312h29e8720_2 arm64
trimmomatic=0.39	ok	quay.io/aarchbio/trimmomatic:0.39--hdfd78af_2 multi-arch
ucsc-bedclip=377	ok	quay.io/aarchbio/ucsc-bedclip:377--h59a00ea_4 arm64
ucsc-bedgraphtobigwig=469	ok	quay.io/aarchbio/ucsc-bedgraphtobigwig:469--h9fe62a2_0 arm64
umicollapse=1.1.0	ok	quay.io/aarchbio/umicollapse:1.1.0--hdfd78af_0 multi-arch
vcftools=0.1.16	ok	quay.io/aarchbio/vcftools:0.1.16--pl5321h1e84f2d_12 arm64
