pipeline	module	ref	class	arch
mag	genomad/endtoend	community.wave.seqera.io/library/genomad:1.11.2--1e14efa5dfbf0dc3	wave-plain	amd64-only
mag	gtdbtk/classifywf	biocontainers/gtdbtk:2.5.2--pyh1f0d9b5_0	biocontainers	amd64-only
mag	gunc/downloaddb	community.wave.seqera.io/library/gunc:1.1.0--98c05141813649a5	wave-plain	amd64-only
mag	gunc/mergecheckm	community.wave.seqera.io/library/gunc:1.1.0--98c05141813649a5	wave-plain	amd64-only
mag	gunc/run	community.wave.seqera.io/library/gunc:1.1.0--98c05141813649a5	wave-plain	amd64-only
mag	gunzip	community.wave.seqera.io/library/coreutils_grep_gzip_lbzip2_pruned:838ba80435a629f8	wave-mulled	amd64-only
mag	maxbin2	biocontainers/maxbin2:2.2.7--he1b5a44_2	biocontainers	amd64-only
mag	megahit	community.wave.seqera.io/library/megahit_pigz:87a590163e594224	wave-mulled	amd64-only
mag	metabat2/jgisummarizebamcontigdepths	biocontainers/metabat2:2.15--h986a166_1	biocontainers	amd64-only
mag	metabat2/metabat2	biocontainers/metabat2:2.17--hd498684_0	biocontainers	amd64-only
mag	metaeuk/easypredict	biocontainers/metaeuk:6.a5d39d9--pl5321hf1761c0_2	biocontainers	amd64-only
mag	metamdbg/asm	biocontainers/metamdbg:1.2--h077b44d_0	biocontainers	amd64-only
mag	minimap2/align	community.wave.seqera.io/library/minimap2_samtools:33bb43c18d22e29c	wave-mulled	amd64-only
mag	minimap2/index	biocontainers/minimap2:2.29--h577a1d6_0	biocontainers	amd64-only
mag	mmseqs/databases	community.wave.seqera.io/library/mmseqs2_wget:aa683a2c5355899d	wave-mulled	amd64-only
mag	multiqc	community.wave.seqera.io/library/multiqc:1.31--1efbafd542a23882	wave-plain	amd64-only
mag	nanolyse	biocontainers/nanolyse:1.2.0--py_0	biocontainers	amd64-only
mag	nanoplot	biocontainers/nanoplot:1.46.1--pyhdfd78af_0	biocontainers	amd64-only
mag	nanoq	biocontainers/nanoq:0.10.0--h031d066_2	biocontainers	amd64-only
mag	porechop/abi	biocontainers/porechop_abi:0.5.0post1--py310h275bdba_0	biocontainers	amd64-only
mag	porechop/porechop	community.wave.seqera.io/library/porechop_pigz:d1655e5b5bad786c	wave-mulled	amd64-only
mag	prodigal	biocontainers/mulled-v2-2e442ba7b07bfa102b9cf8fac6221263cd746ab8:57f05cfa73f769d6ed6d54144cb3aa2a6a6b17e0-0	biocontainers	amd64-only
mag	prokka	community.wave.seqera.io/library/prokka_openjdk:10546cadeef11472	wave-mulled	amd64-only
mag	pydamage/analyze	biocontainers/pydamage:1.0--pyhdfd78af_0	biocontainers	amd64-only
mag	pydamage/filter	biocontainers/pydamage:1.0--pyhdfd78af_0	biocontainers	amd64-only
mag	qsv/cat	community.wave.seqera.io/library/qsv:5.1.0--9a6a0c23d3b279b5	wave-plain	amd64-only
mag	samtools/faidx	biocontainers/samtools:1.22.1--h96c455f_0	biocontainers	amd64-only
mag	samtools/index	biocontainers/samtools:1.22.1--h96c455f_0	biocontainers	amd64-only
mag	samtools/stats	biocontainers/samtools:1.22.1--h96c455f_0	biocontainers	amd64-only
mag	semibin/singleeasybin	community.wave.seqera.io/library/semibin_igraph:fcb667d6c87bf3fd	wave-mulled	amd64-only
mag	seqkit/stats	biocontainers/seqkit:2.9.0--h9ee0642_0	biocontainers	amd64-only
mag	seqtk/mergepe	biocontainers/seqtk:1.4--he4a0461_1	biocontainers	amd64-only
mag	spades	community.wave.seqera.io/library/spades:4.1.0--77799c52e1d1054a	wave-plain	amd64-only
mag	tiara/tiara	biocontainers/tiara:1.0.3	biocontainers	amd64-only
mag	trimmomatic	biocontainers/trimmomatic:0.39--hdfd78af_2	biocontainers	amd64-only
mag	untar	community.wave.seqera.io/library/coreutils_grep_gzip_lbzip2_pruned:838ba80435a629f8	wave-mulled	amd64-only
viralrecon	abacas	biocontainers/abacas:1.3.1--pl526_0	biocontainers	amd64-only
viralrecon	artic/guppyplex	community.wave.seqera.io/library/artic:1.6.2--d4956cdc155b8612	wave-plain	amd64-only
viralrecon	artic/minion	community.wave.seqera.io/library/artic:1.6.2--d4956cdc155b8612	wave-plain	amd64-only
viralrecon	bandage/image	community.wave.seqera.io/library/bandage:0.9.0--4f0567049a14ea6d	wave-plain	amd64-only
viralrecon	bcftools/consensus	community.wave.seqera.io/library/bcftools_htslib:0a3fa2654b52006f	wave-mulled	amd64-only
viralrecon	bcftools/filter	community.wave.seqera.io/library/bcftools_htslib:0a3fa2654b52006f	wave-mulled	amd64-only
viralrecon	bcftools/mpileup	community.wave.seqera.io/library/bcftools_htslib:0a3fa2654b52006f	wave-mulled	amd64-only
viralrecon	bcftools/norm	community.wave.seqera.io/library/bcftools_htslib:0a3fa2654b52006f	wave-mulled	amd64-only
viralrecon	bcftools/query	community.wave.seqera.io/library/bcftools_htslib:0a3fa2654b52006f	wave-mulled	amd64-only
viralrecon	bcftools/sort	community.wave.seqera.io/library/bcftools_htslib:0a3fa2654b52006f	wave-mulled	amd64-only
viralrecon	bcftools/stats	community.wave.seqera.io/library/bcftools_htslib:0a3fa2654b52006f	wave-mulled	amd64-only
viralrecon	bedtools/getfasta	biocontainers/bedtools:2.31.1--hf5e1c6e_0	biocontainers	amd64-only
viralrecon	bedtools/maskfasta	biocontainers/bedtools:2.31.1--hf5e1c6e_0	biocontainers	amd64-only
viralrecon	bedtools/merge	biocontainers/bedtools:2.31.1--hf5e1c6e_0	biocontainers	amd64-only
viralrecon	blast/blastn	community.wave.seqera.io/library/blast:2.16.0--540f4b669b0a0ddd	wave-plain	amd64-only
viralrecon	blast/makeblastdb	biocontainers/blast:2.16.0--h66d330f_5	biocontainers	amd64-only
viralrecon	bowtie2/align	community.wave.seqera.io/library/bowtie2_htslib_samtools_pigz:edeb13799090a2a6	wave-mulled	amd64-only
viralrecon	bowtie2/build	community.wave.seqera.io/library/bowtie2_htslib_samtools_pigz:edeb13799090a2a6	wave-mulled	amd64-only
viralrecon	cat/fastq	community.wave.seqera.io/library/coreutils_grep_gzip_lbzip2_pruned:838ba80435a629f8	wave-mulled	amd64-only
viralrecon	custom/getchromsizes	biocontainers/samtools:1.22.1--h96c455f_0	biocontainers	amd64-only
viralrecon	cutadapt	community.wave.seqera.io/library/cutadapt:5.0--991bbd2e184b7014	wave-plain	amd64-only
viralrecon	fastp	community.wave.seqera.io/library/fastp:1.0.1--c8b87fe62dcc103c	wave-plain	amd64-only
viralrecon	fastqc	biocontainers/fastqc:0.12.1--hdfd78af_0	biocontainers	amd64-only
viralrecon	freyja/boot	biocontainers/freyja:2.0.1--pyhdfd78af_0	biocontainers	amd64-only
viralrecon	freyja/demix	biocontainers/freyja:2.0.1--pyhdfd78af_0	biocontainers	amd64-only
viralrecon	freyja/update	biocontainers/freyja:2.0.1--pyhdfd78af_0	biocontainers	amd64-only
viralrecon	freyja/variants	biocontainers/freyja:2.0.1--pyhdfd78af_0	biocontainers	amd64-only
viralrecon	gunzip	community.wave.seqera.io/library/coreutils_grep_gzip_lbzip2_pruned:838ba80435a629f8	wave-mulled	amd64-only
viralrecon	ivar/consensus	biocontainers/ivar:1.4.4--h077b44d_0	biocontainers	amd64-only
viralrecon	ivar/trim	biocontainers/ivar:1.4.4--h077b44d_0	biocontainers	amd64-only
viralrecon	ivar/variants	biocontainers/ivar:1.4.4--h077b44d_0	biocontainers	amd64-only
viralrecon	kraken2/kraken2	community.wave.seqera.io/library/kraken2_coreutils_pigz:920ecc6b96e2ba71	wave-mulled	amd64-only
viralrecon	minia	biocontainers/minia:3.2.6--h9a82719_0	biocontainers	amd64-only
viralrecon	mosdepth	community.wave.seqera.io/library/mosdepth_htslib:0f58993cb6d93294	wave-mulled	amd64-only
viralrecon	multiqc	community.wave.seqera.io/library/multiqc:1.31--1efbafd542a23882	wave-plain	amd64-only
viralrecon	nanoplot	biocontainers/nanoplot:1.46.1--pyhdfd78af_0	biocontainers	amd64-only
viralrecon	nextclade/datasetget	community.wave.seqera.io/library/nextclade:3.11.0--155203da8341cfe6	wave-plain	amd64-only
viralrecon	nextclade/run	community.wave.seqera.io/library/nextclade:3.11.0--155203da8341cfe6	wave-plain	amd64-only
viralrecon	pangolin/run	community.wave.seqera.io/library/pangolin-data_pangolin_pip_snakemake:7987089a2a044e70	wave-mulled	amd64-only
viralrecon	pangolin/updatedata	community.wave.seqera.io/library/pangolin-data_pangolin_pip_snakemake:7987089a2a044e70	wave-mulled	amd64-only
viralrecon	picard/collectmultiplemetrics	community.wave.seqera.io/library/picard:3.4.0--e9963040df0a9bf6	wave-plain	amd64-only
viralrecon	picard/markduplicates	community.wave.seqera.io/library/picard:3.4.0--e9963040df0a9bf6	wave-plain	amd64-only
viralrecon	plasmidid	biocontainers/plasmidid:1.6.5--hdfd78af_0	biocontainers	amd64-only
viralrecon	pycoqc	biocontainers/pycoqc:2.5.2--py_0	biocontainers	amd64-only
viralrecon	quast	community.wave.seqera.io/library/quast:5.3.0--755a216045b6dbdd	wave-plain	amd64-only
viralrecon	samtools/flagstat	biocontainers/samtools:1.22.1--h96c455f_0	biocontainers	amd64-only
viralrecon	samtools/idxstats	biocontainers/samtools:1.22.1--h96c455f_0	biocontainers	amd64-only
viralrecon	samtools/index	biocontainers/samtools:1.22.1--h96c455f_0	biocontainers	amd64-only
viralrecon	samtools/sort	biocontainers/samtools:1.22.1--h96c455f_0	biocontainers	amd64-only
viralrecon	samtools/stats	biocontainers/samtools:1.22.1--h96c455f_0	biocontainers	amd64-only
viralrecon	samtools/view	biocontainers/samtools:1.22.1--h96c455f_0	biocontainers	amd64-only
viralrecon	spades	community.wave.seqera.io/library/spades:4.1.0--77799c52e1d1054a	wave-plain	amd64-only
viralrecon	tabix/bgzip	community.wave.seqera.io/library/htslib:1.21--ff8e28a189fbecaa	wave-plain	amd64-only
viralrecon	tabix/tabix	community.wave.seqera.io/library/htslib:1.21--ff8e28a189fbecaa	wave-plain	amd64-only
viralrecon	unicycler	community.wave.seqera.io/library/unicycler:0.5.1--b9d21c454db1e56b	wave-plain	amd64-only
viralrecon	untar	community.wave.seqera.io/library/coreutils_grep_gzip_lbzip2_pruned:838ba80435a629f8	wave-mulled	amd64-only
viralrecon	vcflib/vcfuniq	community.wave.seqera.io/library/vcflib:1.0.14--cc8ffb2c1a080797	wave-plain	amd64-only
